Unnamed: 0,date,sol,humi,temp,prec,sun,snow,temp_s,prec_s,sun_s,snow_s,Broc
43,2022/2/13,0.0,90,2.125,11.4375,0.7375,0.375,0.4575751304430782,4.042257259255032,0.6707039212648156,0.9921567416492216,1300
44,2022/2/14,0.0,76,3.3,3.3125,6.75,0.125,0.7106335201775947,0.4284784125250652,0.9874208829065748,0.3307189138830738,1300
45,2022/2/15,0.0,79,3.2125,0.0,5.4875,0.0,0.8476990916592987,0.0,1.7898585837992902,0.0,1300
46,2022/2/16,0.0,61,4.4375,0.0,8.424999999999999,0.0,0.6998883839584711,0.0,0.7445636305917717,0.0,1300
47,2022/2/17,0.0,37,2.25,0.0,9.1875,0.0,1.0380269746013349,0.0,0.7736884062721895,0.0,1300
48,2022/2/18,0.0,51,3.4875,0.0,9.75,0.0,0.6152997237119483,0.0,0.8170067319184097,0.0,1300
49,2022/2/19,0.0,70,3.0375,2.0625,1.3,0.0,0.6382348705609872,1.3331705629813464,0.9617692030835672,0.0,1300
50,2022/2/20,0.0,73,5.3875,2.875,1.8875,0.0,0.6173279112432873,2.3551804601770967,1.6862958666853216,0.0,1300
51,2022/2/21,0.0,35,2.5,0.0,9.7125,0.0,0.6041522986797286,0.0,1.000546725545589,0.0,1300
52,2022/2/22,0.0,41,2.075,0.0,7.875000000000001,0.0,0.8584142356694698,0.0,0.6533567172685988,0.0,1300
53,2022/2/23,0.0,38,2.7375,0.0,10.35,0.0,0.9393315442377096,0.0,0.3708099243547832,0.0,1300
54,2022/2/24,0.0,36,2.725,0.0,10.15,0.0,1.088289942983946,0.0,0.4898979485566358,0.0,1300
55,2022/2/25,0.0,35,4.7,0.0,10.625,0.0,0.9746794344808964,0.0,0.210653744329409,0.0,1300
56,2022/2/26,0.0,58,6.1000000000000005,0.0,10.625,0.0,0.8291561975888501,0.0,0.1713913650100258,0.0,1300
57,2022/2/27,0.0,54,6.7875,0.0,10.1625,0.0,0.7096433963618628,0.0,0.722733526273688,0.0,1300
58,2022/2/28,0.0,43,7.800000000000001,0.0,9.75,0.0,1.1045361017187258,0.0,0.5590169943749471,0.0,1300
59,2022/3/1,0.0,57,7.687500000000001,0.0,7.312500000000001,0.0,0.951889568174796,0.0,0.5060570619999291,0.0,1300
60,2022/3/2,0.0,56,9.8875,2.8125,6.824999999999999,0.0,1.1417503010728745,3.9523529384405935,1.8819869818890889,0.0,1300
61,2022/3/3,0.0,64,7.587500000000001,0.0625,9.375,0.0,0.8535770322589523,0.1653594569415369,0.7870038119348596,0.0,1300
62,2022/3/4,0.0,47,6.825,0.0,8.65,0.0,1.0316855140981676,0.0,1.1863810517704672,0.0,1300
63,2022/3/5,0.0,54,9.462500000000002,0.0,10.6125,0.0,0.8169111028747255,0.0,0.2204399011068552,0.0,1300
64,2022/3/6,0.0,34,6.3625,0.0,9.2875,0.0,0.5452923527796809,0.0,1.1240968597056038,0.0,1300
65,2022/3/7,0.0,34,6.9,0.0,10.7,0.0,0.5431390245600107,0.0,0.1581138830084191,0.0,1300
66,2022/3/8,0.0,68,5.8,0.0,2.725,0.0,0.6264982043070834,0.0,2.0522853115490545,0.0,1300
67,2022/3/9,0.0,57,7.2875,0.0,7.6875,0.0,0.3950870157319776,0.0,1.4717655214061784,0.0,1300
68,2022/3/10,0.0,59,6.887499999999999,0.0,9.775,0.0,0.9198335447242616,0.0,0.3864906208435074,0.0,1300
69,2022/3/11,0.0,59,9.8625,0.0,9.4,0.0,1.224681080934951,0.0,0.9899494936611666,0.0,1300
70,2022/3/12,0.0,47,12.6625,0.0,10.85,0.0,1.0723076750634586,0.0,0.0707106781186545,0.0,1300
71,2022/3/13,0.0,63,12.75,0.0,4.8500000000000005,0.0,0.8215838362577494,0.0,1.074709263010234,0.0,1300
72,2022/3/14,0.0,67,14.6875,0.0,8.825000000000001,0.0,0.3822221212855165,0.0,0.4866980583482949,0.0,1300
73,2022/3/15,0.0,66,11.625000000000002,1.3125,8.225,0.0,0.3230711995830024,1.3448396744593758,0.6118619125260208,0.0,1300
74,2022/3/16,0.0,63,12.1125,0.0,6.5375,0.0,0.6716351316004846,0.0,1.3517927910741352,0.0,1300
75,2022/3/17,0.0,59,12.9875,0.0,6.1625000000000005,0.0,0.7025622748198197,0.0,1.354564044259259,0.0,1300
76,2022/3/18,0.0,95,4.5,33.625,0.0,0.0,0.2291287847477921,6.43112548470328,0.0,0.0,1300
77,2022/3/19,0.0,76,9.675,9.1875,6.925,0.0,0.8027297179001159,4.892197231306195,0.3344772040064914,0.0,1300
78,2022/3/20,0.0,53,9.0125,0.0,8.9,0.0,0.8192031188905471,0.0,0.968245836551854,0.0,1300
79,2022/3/21,0.0,55,9.575,0.0,7.4125,0.0,0.5804093383121952,0.0,2.325638353226916,0.0,1300
80,2022/3/22,0.0,93,3.2625,14.3125,0.0,0.125,0.307967124868873,2.6093282181435127,0.0,0.3307189138830738,1300
81,2022/3/23,0.0,65,4.825,0.0625,6.7,0.0,0.3455068740271313,0.1653594569415369,0.4716990566028301,0.0,1300
82,2022/3/24,0.0,73,7.987500000000001,0.25,10.0375,0.0,0.5555121510822242,0.25,0.977161066559654,0.0,1300
83,2022/3/25,0.0,55,10.5625,0.0,11.0875,0.0,0.9419892515310352,0.0,0.2087911636061256,0.0,1300
84,2022/3/26,0.0,79,12.45,0.5,0.0625,0.0,1.8540496217739155,0.82915619758885,0.1653594569415369,0.0,1300
85,2022/3/27,0.0,66,15.8,0.25,3.35,0.0,0.6344288770224762,0.4330127018922193,1.362901317043901,0.0,1300
86,2022/3/28,0.0,51,11.65,0.1875,5.737500000000001,0.0,0.7713624310270759,0.2420614591379635,1.1894720467501536,0.0,1300
87,2022/3/29,0.0,59,8.625,0.0,0.0,0.0,0.8257572282456871,0.0,0.0,0.0,1300
88,2022/3/30,0.0,78,13.7625,0.0,5.8375,0.0,0.7809249323718639,0.0,2.434613675719415,0.0,1300
89,2022/3/31,0.0,83,14.1625,7.25,3.5625,0.0,0.4688749833377763,2.1360009363293826,0.7210019070709869,0.0,1300
90,2022/4/1,0.0,58,7.025,14.125,6.3375,0.0,0.580409338312195,3.049077729412617,0.3199120973017432,0.0,1300
91,2022/4/2,0.0,47,6.887499999999999,0.0,11.525,0.0,0.8880280119455692,0.0,0.3929058411375427,0.0,1300
92,2022/4/3,0.0,86,7.399999999999999,12.4375,0.1,0.0,0.5744562646538031,3.852251776558744,0.16583123951777,0.0,1300
93,2022/4/4,0.0,96,8.1375,37.25,0.0,0.0,0.4768057780690162,2.7271780286589284,0.0,0.0,1300
94,2022/4/5,0.0,78,12.6375,0.875,5.9625,0.0,0.2496873044429774,0.5448623679425842,2.178266225694187,0.0,1300
95,2022/4/6,0.0,71,15.0375,0.0,7.7625,0.0,0.4973366566019438,0.0,0.6518003912241848,0.0,1300
96,2022/4/7,0.0,70,12.725,0.0,4.05,0.0,0.4548351349665064,0.0,2.032855135025612,0.0,1300
97,2022/4/8,0.0,55,14.6375,0.0,11.974999999999998,0.0,0.509748712602592,0.0,0.1639359631075501,0.0,1300
98,2022/4/9,0.0,64,15.7625,0.0,11.8875,0.0,0.5194648688795036,0.0,0.1452368754827782,0.0,1300
99,2022/4/10,0.0,59,18.3625,0.0,11.95,0.0,0.7210019070709865,0.0,0.0866025403784435,0.0,1300
100,2022/4/11,0.0,68,18.15,0.0,9.0375,0.0,0.6304760106459247,0.0,0.2781074432660877,0.0,1300
101,2022/4/12,0.0,71,19.4,0.0,11.6875,0.0,0.5999999999999995,0.0,0.0780624749799803,0.0,1300
102,2022/4/13,0.0,72,20.2125,0.375,9.5125,0.0,0.4884605920644985,0.649519052838329,0.5509934210133546,0.0,1300
103,2022/4/14,0.0,83,13.025,1.0,0.0,0.0,0.4054318685056711,0.9682458365518544,0.0,0.0,1300
104,2022/4/15,0.0,98,10.0375,11.5,0.0,0.0,0.3705991770093398,3.553167600887974,0.0,0.0,1300
105,2022/4/16,0.0,64,11.725,0.9375,6.625,0.0,0.5562148865321749,0.8076779989575054,1.5343972758057152,0.0,1300
106,2022/4/17,0.0,62,11.6875,0.0,2.8750000000000004,0.0,1.1307491985405076,0.0,1.1355064949175764,0.0,1300
107,2022/4/18,0.0,89,12.3,19.3125,0.0,0.0,0.9137833441248534,6.148869306628659,0.0,0.0,1300
108,2022/4/19,0.0,74,14.3375,0.25,8.6875,0.0,0.4897384506039932,0.3535533905932738,1.742439023323341,0.0,1300
109,2022/4/20,0.0,85,11.775,1.3125,0.0,0.0,0.4943429983321297,1.27322179921646,0.0,0.0,1300
110,2022/4/21,0.0,75,15.0625,5.5,4.0625,0.0,0.8859140759689959,0.7905694150420949,0.4741769184597664,0.0,1300
111,2022/4/22,0.0,75,19.637500000000003,16.25,11.575,0.0,0.6799586384479579,3.29772648956823,0.3491060010942236,0.0,1300
112,2022/4/23,0.0,71,20.5125,0.0,7.65,0.0,0.5464373248598593,0.0,1.1958260743101397,0.0,1300
113,2022/4/24,0.0,77,16.787499999999998,1.4375,0.0,0.0,0.4754931650402557,0.582961190818051,0.0,0.0,1300
114,2022/4/25,0.0,75,19.375,0.0,11.8,0.0,0.4789311015167009,0.0,0.2828427124746188,0.0,1300
