Unnamed: 0,date,temp,prec,sun,snow,humi,temp_s,prec_s,sun_s,snow_s,humi_s,Broc
0,2022/1/1,4.262499999999999,0.0,9.3375,0.0,63.5,0.99365172470036,0.0,0.3568525605905051,0.0,31.77558024647229,1180
1,2022/1/2,6.875,0.0,4.3625,0.0,69.0,1.265652005884714,0.0,0.5977823600609171,0.0,34.565155865408734,1180
2,2022/1/3,6.4,0.0,9.3875,0.0,67.0,1.6385969608173938,0.0,0.351559027760631,0.0,33.65635155509284,1180
3,2022/1/4,6.6000000000000005,0.0,9.3375,0.0,61.25,1.837117307087384,0.0,0.2997394702070451,0.0,31.140558360440487,1180
4,2022/1/5,6.512499999999999,1.0,1.775,0.0,73.5,1.441732898285948,1.0606601717798212,1.0437312872574052,0.0,36.80947568222074,1180
5,2022/1/6,8.525,6.625,2.075,0.0,88.0,1.0767427733679014,1.8666480653835096,1.539277427886215,0.0,44.11915683691156,1180
6,2022/1/7,5.175,0.0,8.387500000000001,0.0,77.75,1.2234684303242156,0.0,0.7959860237466486,0.0,38.90834582708445,1180
7,2022/1/8,6.0625,0.0,0.875,0.0,86.0,1.4730389506051764,0.0,1.4972892172189047,0.0,43.066808565297706,1180
8,2022/1/9,7.324999999999999,0.0,5.8375,0.0,76.25,1.3727253913292343,0.0,0.7680128579652818,0.0,38.15572532399299,1180
9,2022/1/10,7.45,0.0,8.9625,0.0,78.75,1.3729530217745982,0.0,0.9026869612440404,0.0,39.38571282838486,1180
10,2022/1/11,6.4625,1.625,3.3500000000000005,0.0,69.25,1.4299803320325777,1.3863170633011772,1.952562418976664,0.0,34.72728574190618,1180
11,2022/1/12,3.375,0.0,9.3375,0.0,56.75,1.1882234638316145,0.0,0.4580870550452174,0.0,28.591683668507525,1180
12,2022/1/13,5.25,0.0,5.4625,0.0,57.25,1.1989578808281798,0.0,2.257729777896372,0.0,28.69206118423701,1180
13,2022/1/14,3.4875000000000003,0.0,9.3375,0.0,58.25,1.2484365222148863,0.0,0.2912795049432762,0.0,29.302037045229465,1180
14,2022/1/15,4.725,0.0,0.7375,0.0,69.5,1.3254716141811564,0.0,0.5337075510052298,0.0,34.83084121866711,1180
15,2022/1/16,7.225,0.0625,3.8625000000000007,0.0,70.5,1.6909686573085854,0.1653594569415369,1.5531721572317732,0.0,35.449788433783354,1180
16,2022/1/17,7.2875,0.0,0.8,0.0,55.25,1.3769872003762416,0.0,0.6082762530298219,0.0,27.726059492830927,1180
17,2022/1/18,5.75,0.0,5.862499999999999,0.0,62.0,1.3009611831257688,0.0,2.0266582716383144,0.0,31.244999599935987,1180
18,2022/1/19,5.0625,0.0,8.975000000000001,0.0,64.25,1.868112349405142,0.0,0.6417748826496721,0.0,32.32041730856828,1180
19,2022/1/20,5.9625,0.0,8.200000000000001,0.0,59.5,1.066463196739578,0.0,0.6224949798994365,0.0,29.794084983432533,1180
20,2022/1/21,4.9750000000000005,0.0,8.8125,0.0,61.75,1.4566657131957217,0.0,0.2847696437473631,0.0,30.95334190358127,1180
21,2022/1/22,6.4625,0.0,2.2375000000000003,0.0,80.5,1.308565531412164,0.0,0.8615937267645348,0.0,40.28259549731124,1180
22,2022/1/23,10.95,29.5625,0.0,0.0,97.75,1.1863810517704674,5.064814285835168,0.0,0.0,48.88618797779185,1180
23,2022/1/24,10.5125,3.6875,0.0,0.0,86.75,0.8053531833922306,2.207055447876197,0.0,0.0,43.453818877056136,1180
24,2022/1/25,8.7625,0.0,1.1,0.0,87.0,0.932654142756038,0.0,1.0547511554864497,0.0,43.57177985806869,1180
25,2022/1/26,9.05,0.0,9.2625,0.0,75.0,1.4291605927956452,0.0,0.5764926278800103,0.0,37.6497011940334,1180
26,2022/1/27,9.0125,0.1875,0.275,0.0,77.75,1.1428445869845998,0.2420614591379635,0.3864906208435076,0.0,38.97896067111077,1180
27,2022/1/28,8.7625,0.0,6.375000000000001,0.0,69.75,1.075799121583579,0.0,0.9996874511566104,0.0,35.1761193851738,1180
28,2022/1/29,8.674999999999999,0.0,0.7875000000000001,0.0,58.5,1.169134295108992,0.0,0.5206666399914632,0.0,29.91132728582936,1180
29,2022/1/30,7.2375,0.0625,0.0,0.0,62.0,1.0511154789080028,0.1653594569415369,0.0,0.0,31.236997294874552,1180
30,2022/1/31,5.925,0.0,9.8875,0.0,63.5,1.2939764294607534,0.0,0.2803457686500726,0.0,32.11210830823788,1180
31,2022/2/1,6.387499999999999,0.0,4.7,0.0,60.75,1.720782888687588,0.0,2.0838665984174707,0.0,30.7324645123036,1180
32,2022/2/2,5.4125000000000005,0.0,0.1875,0.0,59.25,1.4649552040932856,0.0,0.1165922381636101,0.0,29.94134891750871,1180
33,2022/2/3,6.1125,0.1875,0.0,0.0,68.0,0.7149082108914401,0.3479852726768763,0.0,0.0,34.13575837739657,1180
34,2022/2/4,6.7625,0.0,8.5,0.0,57.25,1.0582267006648436,0.0,0.5385164807134502,0.0,28.787746959427025,1180
35,2022/2/5,4.65,0.0,7.825,0.0,51.5,1.2308533625091171,0.0,1.7246376431007182,0.0,26.21426138574192,1180
36,2022/2/6,3.5125,0.0,9.8125,0.0,49.5,1.4408656252406051,0.0,0.3919103851647721,0.0,25.14333907817337,1180
37,2022/2/7,4.75,0.0,2.625,0.0,60.0,1.2196310917650468,0.0,1.6452583383772894,0.0,30.03747659175118,1180
38,2022/2/8,6.525,10.5625,0.2,0.0,91.25,1.2007809958522828,2.6860461183680373,0.25,0.0,45.64246241166224,1180
