Unnamed: 0,date,temp,prec,sun,snow,humi,temp_s,prec_s,sun_s,snow_s,humi_s,Broc
0,2022/1/1,-0.475,6.0625,0.7749999999999999,3.8333333333333335,72.25,1.680587694825831,6.738126130460901,1.0813764376941082,2.2603926650031405,36.18161653381452,1080
1,2022/1/2,1.8625,7.3125,3.925,2.833333333333333,70.75,2.3494347724505995,2.090716085459716,1.7217360424873491,4.19635258289863,35.6438546596745,1080
2,2022/1/3,1.3125,12.0625,0.6,2.833333333333333,83.25,1.120755883321609,9.16664299239367,0.8031189202104505,2.666341125962693,41.67414516219859,1080
3,2022/1/4,0.8750000000000001,17.375,0.0875,10.5,83.5,1.315057032983741,9.006074339022524,0.1690968657308585,12.584092140476404,41.89794147687927,1080
4,2022/1/5,-0.6375,5.25,0.65,6.166666666666667,76.25,1.6022932783981838,2.968585521759479,0.4609772228646444,6.460214779711275,38.30612712086671,1080
5,2022/1/6,-0.6000000000000001,0.3125,3.525,0.1666666666666666,76.5,1.9163767896736803,0.8267972847076845,1.0268276388956423,0.3307189138830738,39.0536489972448,1080
6,2022/1/7,1.325,7.9375,1.4249999999999998,8.833333333333334,73.75,1.594325876350252,4.686666592579421,1.4677789343085694,6.817945071647322,36.97782274553222,1080
7,2022/1/8,2.0625,1.375,5.2,2.333333333333333,70.25,2.2298752767811925,1.595893166850463,0.8860022573334676,2.947456530637899,35.81702632827019,1080
8,2022/1/9,3.2375000000000003,7.5,0.325,0.8333333333333334,80.5,2.091612715107652,3.992179855667828,0.6905613658466566,1.3169567191065925,40.85875059274329,1080
9,2022/1/10,2.175,0.0625,6.637499999999999,0.8333333333333334,79.0,1.1840080236214618,0.1653594569415369,1.1671948209275094,1.1110243021644486,39.95309750194596,1080
10,2022/1/11,3.5875,16.0,0.2625,3.0,78.75,1.7323665172243432,3.051638903933425,0.3497767144908306,4.866980583482946,39.71441016809894,1080
11,2022/1/12,0.725,9.375,0.65,13.0,75.5,1.628457859448626,7.671986379028576,0.8930285549745876,11.60549438843516,37.85746293665227,1080
12,2022/1/13,0.7125,18.375,0.025,29.166666666666668,75.25,1.864428531749072,18.817794105579964,0.0661437827766147,24.62436547405841,38.28817539397771,1080
13,2022/1/14,0.475,8.3125,0.7,3.6666666666666665,77.0,1.5594470173750694,7.697148416783971,0.9273618495495703,2.537222891273055,38.7556447501522,1080
14,2022/1/15,2.6375,1.4375,0.5875,0.8333333333333334,64.75,1.864093278245485,1.2358574958303243,1.369705716568344,1.1110243021644486,32.657072358066635,1080
15,2022/1/16,2.4750000000000005,8.1875,1.2499999999999998,0.0,81.25,2.1010414084448694,6.219613633498467,1.3407087677791925,0.0,41.23996089959349,1080
16,2022/1/17,1.3999999999999997,21.8125,0.0625,13.166666666666666,83.0,1.243985530462473,18.043242329193497,0.1653594569415369,6.899954709996291,41.970227542866624,1080
17,2022/1/18,-0.1375,7.9375,0.8375,14.333333333333334,76.25,1.582669817112843,7.755794204979913,1.1521040534604503,15.06444489518283,38.14917266468567,1080
18,2022/1/19,0.1374999999999999,14.0625,2.2625,9.333333333333334,85.0,1.6597721982248046,10.384596465438609,2.6990449699847536,11.586630226256467,42.98837052040936,1080
19,2022/1/20,-0.025,12.125,0.0,13.333333333333334,84.25,1.7122718826167762,6.367642813475015,0.0,9.643650760992957,42.4865787631812,1080
20,2022/1/21,-0.225,6.1875,1.3,8.333333333333334,78.75,1.7297037318569908,2.78318050977654,0.733143914930759,6.279928343540235,39.47764398998501,1080
21,2022/1/22,0.775,1.9375,0.05,0.1666666666666666,76.0,1.93115897843756,3.3018697354680726,0.1322875655532295,0.3307189138830738,38.97435053981015,1080
22,2022/1/23,1.7625,1.8125,4.075,0.0,76.25,1.7225979652838324,1.3905372163304368,1.397989628001581,0.0,39.14536211353779,1080
23,2022/1/24,2.4250000000000003,3.6875,0.3625,0.8333333333333334,71.0,1.3908181045701125,2.6093282181435127,0.5383713866839508,1.653594569415369,36.35244145858707,1080
24,2022/1/25,1.825,0.0625,3.9,0.8333333333333334,71.0,1.6505680840244066,0.1653594569415369,1.526433752247375,1.3169567191065925,36.04511062543712,1080
25,2022/1/26,3.4375000000000004,4.4375,4.012499999999999,1.0,83.5,1.2825146197997122,2.4165768661476505,0.9019943181639228,1.299038105676658,41.86511077257529,1080
26,2022/1/27,2.5625,5.0,1.4249999999999998,4.666666666666667,72.25,1.7014240359181485,3.968626966596886,1.6528384676065595,5.385164807134504,36.49122325984702,1080
27,2022/1/28,1.4125,6.6875,0.45,8.166666666666666,74.75,1.82854963017141,6.148869306628659,0.5099019513592785,8.237680195297703,38.52576248434286,1080
28,2022/1/29,0.7999999999999999,6.375,0.625,7.333333333333333,81.0,1.2041594578792296,5.655473012931809,0.6590713163232034,5.291502622129181,40.93287187579195,1080
29,2022/1/30,0.3125,6.5,0.775,11.333333333333334,73.0,1.4615381452428808,6.8053287944081,1.074418447347215,8.972179222463181,37.59321747336878,1080
30,2022/1/31,0.4874999999999999,5.625,1.1250000000000002,8.5,72.25,1.5671929523833368,4.675401052316261,0.9908960591303207,7.79322622538317,36.32642805176419,1080
31,2022/2/1,1.25,6.0,3.6375,7.5,76.25,1.3341664064126335,2.598076211353316,1.6612777461941757,4.121210380458634,38.433180651619246,1080
32,2022/2/2,1.4875000000000005,9.375,1.0875,10.0,77.25,1.501197438713509,9.01647797091525,0.9623376486452142,9.899494936611664,38.813456107386266,1080
