Unnamed: 0.1,Unnamed: 0,date,temp,prec,sun,snow,humi,temp_s,prec_s,sun_s,snow_s,humi_s,Broc
0,0,2022/1/1,1.75,0.125,7.450000000000001,0.0,63.333333333333336,0.8306623862918074,0.2165063509461096,2.133658829335187,0.0,30.792653344588544,1550
1,1,2022/1/2,2.55,0.0,8.1,0.0,62.66666666666666,1.1608186766243898,0.0,0.6982120021884471,0.0,30.35621847332108,1550
2,2,2022/1/3,4.775,0.0,7.3,0.0,75.66666666666667,1.5039531242695034,0.0,2.395307913400697,0.0,36.66380197142681,1550
3,3,2022/1/4,5.0125,0.0,4.199999999999999,0.0,67.0,1.3383175071708506,0.0,1.8200274723201293,0.0,32.57467382799097,1550
4,4,2022/1/5,3.5125,0.0,9.2125,0.0,51.0,0.6845390785046533,0.0,0.1763341997458237,0.0,24.73579137606072,1550
5,5,2022/1/6,2.125,1.4375,0.6124999999999999,0.0,80.0,1.0158124826955022,1.5499495959546556,0.6450532923720335,0.0,38.86836760143137,1550
6,6,2022/1/7,4.1875,0.0625,9.0,0.0,57.66666666666666,0.9306415797717184,0.1653594569415369,0.5196152422706635,0.0,27.928200353764293,1550
7,7,2022/1/8,3.55,0.0,9.3,0.0,60.66666666666666,1.0723805294763609,0.0,0.2,0.0,29.439556722206262,1550
8,8,2022/1/9,5.5,0.0,7.750000000000001,0.0,69.0,1.036822067666386,0.0,0.6324555320336759,0.0,33.46430000762006,1550
9,9,2022/1/10,7.35,0.0,9.325,0.0,64.33333333333333,0.9526279441628824,0.0,0.082915619758885,0.0,31.162627857740112,1550
10,10,2022/1/11,6.050000000000001,11.875,0.0125,0.0,87.66666666666667,0.724568837309472,3.8140365755980894,0.0330718913883073,0.0,42.44536929984236,1550
11,11,2022/1/12,3.0625,0.25,8.0,0.0,69.0,0.6122448448129229,0.5,1.3509256086106296,0.0,33.449355374954536,1550
12,12,2022/1/13,3.675,0.1875,4.625,0.0,63.0,1.0413332799829265,0.3479852726768763,1.937620963965863,0.0,30.77311123367281,1550
13,13,2022/1/14,2.1875,1.5,5.0,0.0,74.66666666666667,0.7149082108914403,2.222048604328897,1.6575584454250776,0.0,36.23189202898463,1550
14,14,2022/1/15,3.8875,0.0,5.7,0.0,60.66666666666666,1.1868419229198135,0.0,1.4291605927956452,0.0,29.397066180147977,1550
15,15,2022/1/16,4.249999999999999,0.0,8.887500000000001,0.0,72.66666666666667,1.351850583459577,0.0,1.0982229964811334,0.0,35.21274627176926,1550
16,16,2022/1/17,5.5,0.0625,2.2375,0.0,68.66666666666667,0.75,0.1653594569415369,1.139009986786771,0.0,33.30821970625269,1550
17,17,2022/1/18,2.6375,0.25,5.3375,0.0,68.66666666666667,0.7680128579652816,0.25,1.3499421283892137,0.0,33.30446666740063,1550
18,18,2022/1/19,1.975,0.0,7.8125,0.0,68.0,0.9971835337589564,0.0,1.1004970467929478,0.0,32.94692701907114,1550
19,19,2022/1/20,2.5125,0.0,6.1625000000000005,0.0,69.66666666666667,1.1307491985405074,0.0,0.9245776062613672,0.0,33.78771041369924,1550
20,20,2022/1/21,2.2125,0.0,8.6625,0.0,55.333333333333336,0.8207275735589733,0.0,0.916429893663449,0.0,26.81767141270845,1550
21,21,2022/1/22,2.6625,0.0,9.5875,0.0,58.0,0.9551668702378656,0.0,0.0927024810886954,0.0,28.172459956489423,1550
22,22,2022/1/23,2.25,10.5625,0.025,0.0,83.33333333333333,0.9772410142846032,1.4882351124738322,0.0661437827766147,0.0,40.36319486859285,1550
23,23,2022/1/24,5.8125,0.125,6.15,0.0,72.33333333333333,0.6771955035290769,0.2165063509461096,0.7516648189186453,0.0,35.01941425837959,1550
24,24,2022/1/25,5.1375,0.375,1.6375,0.0,76.66666666666667,0.512195031213697,0.5448623679425842,1.1412027646303702,0.0,37.17105728924051,1550
25,25,2022/1/26,6.5875,0.0,8.725000000000001,0.0,73.0,0.9584329658353786,0.0,1.2255100978776143,0.0,35.36572316523444,1550
26,26,2022/1/27,6.612500000000001,0.0,6.550000000000001,0.0,54.0,0.6112231589198827,0.0,2.108909670896314,0.0,26.199952290032897,1550
27,27,2022/1/28,4.9625,0.0,7.749999999999999,0.0,62.0,1.0246188315661586,0.0,0.9219544457292888,0.0,30.06555337924117,1550
28,28,2022/1/29,4.987500000000001,0.0,5.025,0.0,69.0,1.2868930608251798,0.0,1.8739997331910163,0.0,33.408223164364784,1550
29,29,2022/1/30,4.812499999999999,0.0,2.4625,0.0,64.0,1.2302819798729072,0.0,0.7581845092060375,0.0,31.03626910567699,1550
30,30,2022/1/31,4.2125,0.0,9.6125,0.0,52.66666666666666,1.0647035972513663,0.0,0.1053268721647041,0.0,25.557533136044253,1550
31,31,2022/2/1,4.9375,0.0,7.875,0.0,63.66666666666666,0.9949089154289452,0.0,0.7758060324591449,0.0,30.83195379796745,1550
32,32,2022/2/2,4.45,0.0,8.9875,0.0,64.33333333333333,0.7905694150420947,0.0,0.9075206609218328,0.0,31.21473009654256,1550
33,33,2022/2/3,4.6000000000000005,0.0,3.1750000000000003,0.0,66.33333333333333,1.14564392373896,0.0,0.5332682251925386,0.0,32.17700071479628,1550
34,34,2022/2/4,4.8125,0.0,7.162499999999999,0.0,63.333333333333336,0.7523920188306094,0.0,1.113482712034633,0.0,30.678779310787448,1550
35,35,2022/2/5,2.375,0.875,3.3750000000000004,0.0,69.33333333333333,0.9858372076565176,1.6909686573085854,0.8362864341838865,0.0,34.5,1550
