Unnamed: 0,date,temp,prec,sun,snow,humi,temp_s,prec_s,sun_s,snow_s,humi_s,Broc
0,2022/1/1,-5.449999999999999,4.1875,0.45,6.571428571428571,85.4,1.0331989159885913,3.823753881985607,0.3937003937005905,3.4550687402713134,41.442543056622384,765
1,2022/1/2,-0.3875,6.625,4.1,6.571428571428571,81.8,1.0658769863356654,3.62068708949006,1.0618380290797649,3.960744879438715,39.93882040070788,765
2,2022/1/3,-2.7625,2.0625,2.6625,3.142857142857143,74.4,0.5475799028452377,1.2854352375751958,3.268003021724429,2.436698586202241,36.43487340447336,765
3,2022/1/4,-4.325,4.75,1.2625,9.857142857142858,85.8,0.5332682251925386,2.7950849718747373,1.4220913296972173,6.343057228182637,41.54496810685983,765
4,2022/1/5,-3.1375000000000006,4.375,5.2625,6.857142857142857,86.8,1.3142845011640365,7.197004585242391,3.258426575818458,8.558621384311845,42.42272386351447,765
5,2022/1/6,-2.5,0.0625,6.625000000000001,0.4285714285714285,83.0,1.3133925536563698,0.1653594569415369,1.827395687857449,0.4841229182759271,40.42102639716117,765
6,2022/1/7,-1.9625,10.9375,0.8125,15.428571428571429,90.4,0.8230089610690761,7.178254923726239,0.8521113483577132,7.123903424387503,43.846322536787504,765
7,2022/1/8,-0.475,0.75,2.8125,0.8571428571428571,81.2,0.8856494791959175,0.82915619758885,2.250243042428973,1.6393596310755,39.55613100392909,765
8,2022/1/9,0.8125,4.5,0.6875,2.2857142857142856,88.0,0.4675401052316261,4.0155946010522525,0.7253232038202003,2.5,42.83106349368411,765
9,2022/1/10,-1.4,0.5,5.9125,0.4285714285714285,81.2,0.65,0.8660254037844386,1.8509710289466983,0.9921567416492216,39.4422045529912,765
10,2022/1/11,-0.2375,7.0625,0.0,0.0,87.4,0.7482270711488592,3.96419522097487,0.0,0.0,42.43211490133387,765
11,2022/1/12,0.2625,9.5,1.6375,10.285714285714286,85.0,0.4211220131980754,5.70087712549569,1.5523671440738496,4.743416490252569,41.28691530012868,765
12,2022/1/13,-1.4375,2.125,2.55,3.7142857142857135,80.0,0.4846067993745032,2.161452058223823,2.4015619917045656,3.960744879438715,39.179076048319466,765
13,2022/1/14,-1.15,3.75,3.225,6.571428571428571,82.8,0.5979130371550699,4.879805323985784,2.3434749838647733,5.782516753110189,40.48070528041724,765
14,2022/1/15,0.3875,1.0625,0.8875,1.8571428571428568,75.4,0.3887077951366553,1.9754350786598884,1.6435004563431064,2.2878756522153907,36.68595610039351,765
15,2022/1/16,-0.225,1.3125,0.0,0.2857142857142857,86.0,0.6417748826496719,1.6571341979453564,0.0,0.4330127018922193,41.89197417167159,765
16,2022/1/17,-0.2875,2.625,5.4,3.857142857142857,75.2,0.4807221130757352,2.218529918662356,2.054872258803452,3.119995993587171,36.63673020344474,765
17,2022/1/18,-3.0125,2.5,5.7125,4.0,82.6,0.8417801078666565,4.00780488547035,3.486917514080309,4.847679857416329,40.88684843565226,765
18,2022/1/19,-1.4125,1.125,6.3125,1.4285714285714286,84.6,0.8267972847076845,2.132340263653997,1.2383835229847011,2.0463381929681126,41.46817303667959,765
19,2022/1/20,-2.0500000000000003,5.0625,2.0,6.285714285714286,90.2,0.7937253933193771,6.875852219906999,1.6401219466856725,7.648529270389178,43.8033603163045,765
20,2022/1/21,-1.675,0.4375,5.612500000000001,0.8571428571428571,76.4,0.5847007781763249,1.1575161985907585,0.8358192089202066,1.299038105676658,37.11047695732298,765
21,2022/1/22,-0.25,1.0625,1.7625,2.0,76.8,0.4242640687119285,1.3331705629813464,1.1957607411183897,1.984313483298443,37.33965720249719,765
22,2022/1/23,-0.075,3.3125,3.6625,6.285714285714286,78.6,0.7275816105427625,1.836053852696048,0.8045767520877048,2.692582403567252,38.40389791414408,765
23,2022/1/24,-0.6000000000000001,3.8125,0.7500000000000001,4.857142857142857,87.4,0.8470537173048709,2.4358969087381346,0.5634713834792322,4.054318685056714,42.505698147424894,765
24,2022/1/25,-0.3374999999999999,0.0,0.0625,0.0,80.6,0.8275528684017717,0.0,0.1316956719106592,0.0,39.2330775621796,765
25,2022/1/26,-0.8,0.0,1.2625000000000002,0.1428571428571428,83.6,0.7858116822750856,0.0,1.3303547459230565,0.3307189138830738,40.67170392299786,765
26,2022/1/27,-0.5499999999999999,7.1875,4.45,11.428571428571429,84.8,0.4821825380496478,10.099311548318529,2.281446909309967,13.228756555322953,41.400483088968905,765
27,2022/1/28,-1.7125,4.75,4.9,5.857142857142857,83.2,0.4985917668794782,5.777110004145672,2.379075450674064,6.6226410894748025,40.82891132518721,765
28,2022/1/29,-2.5250000000000004,2.6875,3.5500000000000003,4.714285714285714,75.6,0.4943429983321297,2.235194342780958,2.360614326822575,5.06057061999929,37.10710848341595,765
29,2022/1/30,-4.499999999999999,2.8125,1.3375,5.285714285714286,79.6,0.4358898943540673,2.276750700010873,1.7535232390818207,3.5333235062756425,38.79674599757047,765
30,2022/1/31,-4.95,2.375,1.5624999999999998,4.571428571428571,81.2,0.6144102863722254,2.117634293262177,1.660525142838855,3.082207001484488,39.486548342441885,765
31,2022/2/1,-3.2625,0.25,3.9375,0.4285714285714285,76.0,1.0061529456300369,0.5,2.687906945933954,0.6959705453537527,36.98986347636336,765
32,2022/2/2,-1.15,0.9375,3.2125,2.2857142857142856,78.4,0.4609772228646444,1.1575161985907585,2.136256948496599,2.6457513110645907,38.30469945058961,765
33,2022/2/3,-2.225,1.75,2.8875,3.7142857142857135,72.8,0.5425633603552676,1.837117307087384,2.518152844844808,3.832427429188973,35.86781286892191,765
