Unnamed: 0,date,temp,prec,sun,snow,humi,temp_s,prec_s,sun_s,snow_s,humi_s,Broc
0,2022/1/1,1.9125,2.1875,0.1125,0.8,82.4,1.9160098512272845,1.4986973510352248,0.1452368754827781,1.0,40.32059027345706,846
1,2022/1/2,2.825,0.125,3.9875,0.2,79.2,2.8300839210171844,0.2165063509461096,0.9439776215567824,0.3307189138830738,38.9903834297638,846
2,2022/1/3,3.9,0.1875,7.75,0.8,76.2,2.8896366553599777,0.3479852726768763,0.6184658438426489,1.0,37.92076443058605,846
3,2022/1/4,4.425,6.9375,0.6250000000000001,1.4,78.2,2.560639568545327,6.7288441615183805,0.3864906208435076,1.2686114456365274,39.38729966626298,846
4,2022/1/5,2.625,3.5,0.025,0.6,86.8,1.7802738553379929,3.6742346141747673,0.0433012701892219,0.6959705453537527,42.7602326934735,846
5,2022/1/6,4.2875,2.0625,6.1875,0.8,79.6,1.906854412376572,0.982264602843857,0.4371427112511428,1.3228756555322954,39.05044814083444,846
6,2022/1/7,3.975,0.8125,1.35,0.2,74.0,2.043128728200942,1.4563975247163805,1.1715374513859982,0.3307189138830738,37.16096742551248,846
7,2022/1/8,4.35,0.0,9.05,0.6,73.0,2.9769951293208394,0.0,0.2449489742783178,0.9921567416492216,36.33158921654818,846
8,2022/1/9,5.324999999999999,1.3125,2.5875000000000004,0.0,78.4,2.615697803646285,1.618979230873577,1.2504374234642852,0.0,38.50973902793941,846
9,2022/1/10,5.5,2.5,5.6375,0.4,85.0,2.4072806234421447,2.633913438213185,1.1146047505730452,0.6614378277661477,41.38972547625799,846
10,2022/1/11,3.825,14.1875,0.55,4.2,82.6,1.914255730042358,5.459724695440238,0.4301162633521313,6.5752851649187045,40.4040143426368,846
11,2022/1/12,1.5125000000000002,14.75,0.5625,5.0,84.6,1.4649552040932856,8.437268515343103,0.8644904568588366,5.23061898822692,41.371601068849145,846
12,2022/1/13,0.925,6.8125,1.9375,6.4,79.0,1.739073028943868,3.9126198064723847,1.0605865122657367,4.387482193696061,38.710261882348455,846
