date,temp,Broc
2022/1/1,1.1,1190
2022/1/2,1.4500000000000002,1190
2022/1/3,3.9333333333333336,1190
2022/1/4,3.95,1190
2022/1/5,2.4166666666666665,1190
2022/1/6,0.6166666666666666,1190
2022/1/7,2.1,1190
2022/1/8,1.6666666666666667,1190
2022/1/9,2.9,1190
2022/1/10,4.166666666666667,1190
2022/1/11,2.6166666666666667,1190
2022/1/12,1.5333333333333332,1190
2022/1/13,1.4166666666666667,1190
2022/1/14,0.8833333333333333,1190
2022/1/15,1.9499999999999995,1190
2022/1/16,2.8666666666666667,1190
2022/1/17,4.383333333333334,1190
2022/1/18,1.3166666666666669,1190
2022/1/19,0.4666666666666666,1190
2022/1/20,0.7833333333333335,1190
2022/1/21,0.5833333333333334,1190
2022/1/22,1.5,1190
2022/1/23,1.0166666666666668,1190
2022/1/24,3.2000000000000006,1190
2022/1/25,1.7,1190
2022/1/26,4.233333333333333,1190
2022/1/27,3.816666666666667,1190
2022/1/28,3.033333333333333,1190
2022/1/29,2.8833333333333333,1190
2022/1/30,2.4666666666666663,1190
2022/1/31,2.0000000000000004,1190
2022/2/1,2.533333333333333,1190
2022/2/2,2.783333333333333,1190
2022/2/3,3.2000000000000006,1190
2022/2/4,2.3833333333333333,1190
2022/2/5,0.4499999999999999,1190
2022/2/6,0.4333333333333334,1190
2022/2/7,1.55,1190
2022/2/8,2.6333333333333333,1190
2022/2/9,3.0,1190
2022/2/10,2.6,1190
2022/2/11,3.0500000000000003,1190
2022/2/12,2.85,1190
2022/2/13,0.9833333333333334,1190
2022/2/14,3.35,1190
2022/2/15,4.366666666666666,1190
2022/2/16,1.416666666666667,1190
2022/2/17,-0.7833333333333333,1190
2022/2/18,1.2166666666666666,1190
2022/2/19,2.3166666666666664,1190
2022/2/20,3.033333333333333,1190
2022/2/21,0.7333333333333334,1190
2022/2/22,1.2833333333333334,1190
2022/2/23,0.6833333333333332,1190
2022/2/24,0.3833333333333333,1190
2022/2/25,1.3,1190
2022/2/26,3.516666666666667,1190
2022/2/27,5.216666666666666,1190
2022/2/28,4.816666666666667,1190
2022/3/1,4.466666666666666,1190
2022/3/2,7.050000000000001,1190
2022/3/3,6.333333333333333,1190
2022/3/4,4.816666666666666,1190
2022/3/5,7.75,1190
2022/3/6,3.733333333333334,1190
2022/3/7,2.8666666666666667,1190
2022/3/8,3.25,1190
2022/3/9,4.433333333333334,1190
2022/3/10,6.166666666666667,1190
2022/3/11,7.616666666666667,1190
2022/3/12,11.483333333333334,1190
2022/3/13,12.966666666666669,1190
2022/3/14,14.716666666666669,1190
2022/3/15,14.116666666666667,1190
2022/3/16,11.533333333333331,1190
2022/3/17,10.916666666666666,1190
2022/3/18,9.733333333333334,1190
2022/3/19,8.083333333333334,1190
2022/3/20,5.933333333333334,1190
2022/3/21,7.483333333333334,1190
2022/3/22,4.583333333333333,1190
2022/3/23,4.433333333333334,1190
2022/3/24,7.433333333333334,1190
2022/3/25,10.2,1190
2022/3/26,13.266666666666666,1190
2022/3/27,12.333333333333334,1190
2022/3/28,9.016666666666667,1190
2022/3/29,9.316666666666668,1190
2022/3/30,13.366666666666667,1190
2022/3/31,11.500000000000002,1190
2022/4/1,6.2,1190
2022/4/2,6.45,1190
2022/4/3,8.5,1190
2022/4/4,10.366666666666667,1190
2022/4/5,10.55,1190
2022/4/6,12.916666666666664,1190
2022/4/7,13.05,1190
2022/4/8,13.1,1190
2022/4/9,13.8,1190
2022/4/10,15.933333333333332,1190
2022/4/11,16.0,1190
2022/4/12,18.35,1190
2022/4/13,19.183333333333334,1190
2022/4/14,18.766666666666666,1190
2022/4/15,14.833333333333334,1190
2022/4/16,10.383333333333333,1190
2022/4/17,11.75,1190
2022/4/18,14.616666666666664,1190
2022/4/19,13.683333333333332,1190
2022/4/20,14.266666666666666,1190
2022/4/21,13.116666666666667,1190
2022/4/22,16.23333333333333,1190
2022/4/23,16.566666666666666,1190
2022/4/24,15.033333333333331,1190
2022/4/25,19.433333333333334,1190
2022/4/26,19.75,1190
2022/4/27,18.05,1190
2022/4/28,16.633333333333336,1190
2022/4/29,14.266666666666667,1190
2022/4/30,13.583333333333334,1190
2022/5/1,12.483333333333334,1190
2022/5/2,11.533333333333331,1190
2022/5/3,11.683333333333332,1190
2022/5/4,14.566666666666668,1190
2022/5/5,16.383333333333333,1190
2022/5/6,15.85,1190
2022/5/7,17.933333333333334,1190
2022/5/8,16.21666666666667,1190
2022/5/9,12.25,1190
2022/5/10,14.533333333333331,1190
2022/5/11,17.7,1190
2022/5/12,17.133333333333336,1190
2022/5/13,18.48333333333333,1190
2022/5/14,16.95,1190
2022/5/15,13.45,1190
2022/5/16,14.933333333333332,1190
2022/5/17,14.533333333333337,1190
2022/5/18,16.616666666666667,1190
2022/5/19,17.53333333333333,1190
2022/5/20,17.433333333333334,1190
2022/5/21,15.733333333333334,1190
2022/5/22,18.96666666666667,1190
2022/5/23,19.05,1190
2022/5/24,19.316666666666663,1190
2022/5/25,19.766666666666666,1190
2022/5/26,19.45,1190
2022/5/27,19.3,1190
2022/5/28,19.4,1190
2022/5/29,21.33333333333333,1190
2022/5/30,19.433333333333334,1190
2022/5/31,18.100000000000005,1190
2022/6/1,16.8,1190
2022/6/2,19.616666666666664,1190
2022/6/3,20.9,1190
2022/6/4,19.83333333333333,1190
2022/6/5,18.8,1190
2022/6/6,17.866666666666664,1190
2022/6/7,16.916666666666668,1190
2022/6/8,17.05,1190
2022/6/9,19.399999999999995,1190
2022/6/10,20.96666666666667,1190
2022/6/11,18.65,1190
2022/6/12,19.53333333333333,1190
2022/6/13,18.55,1190
2022/6/14,17.25,1190
2022/6/15,19.366666666666664,1190
2022/6/16,21.166666666666668,1190
2022/6/17,22.13333333333333,1190
2022/6/18,20.45,1190
2022/6/19,22.9,1190
2022/6/20,23.616666666666664,1190
2022/6/21,21.566666666666663,1190
2022/6/22,23.366666666666664,1190
2022/6/23,25.51666666666667,1190
2022/6/24,26.85,1190
2022/6/25,25.916666666666668,1190
2022/6/26,23.766666666666666,1190
2022/6/27,25.78333333333333,1190
2022/6/28,26.78333333333333,1190
2022/6/29,26.9,1190
2022/6/30,27.03333333333333,1190
2022/7/1,27.516666666666666,1190
2022/7/2,27.35,1190
2022/7/3,24.75,1190
2022/7/4,23.23333333333333,1190
2022/7/5,23.4,1190
2022/7/6,24.766666666666666,1190
2022/7/7,25.75,1190
2022/7/8,25.55,1190
2022/7/9,24.58333333333333,1190
2022/7/10,24.6,1190
2022/7/11,25.916666666666668,1190
2022/7/12,24.63333333333333,1190
2022/7/13,25.05,1190
2022/7/14,23.4,1190
2022/7/15,24.200000000000003,1190
2022/7/16,22.183333333333337,1190
2022/7/17,24.666666666666668,1190
2022/7/18,25.116666666666664,1190
2022/7/19,24.78333333333333,1190
2022/7/20,25.116666666666664,1190
2022/7/21,24.98333333333333,1190
2022/7/22,25.433333333333334,1190
2022/7/23,23.683333333333334,1190
2022/7/24,25.08333333333333,1190
2022/7/25,26.98333333333333,1190
2022/7/26,27.85,1190
2022/7/27,26.5,1190
